farm_id,farmer_id,region,area_ha,lat,lon
FRM-0057,FAR-057,Machakos,38.9,-0.64,37.32
FRM-0058,FAR-058,Nakuru,40.6,-0.56,37.38
FRM-0059,FAR-059,Nairobi,42.3,-0.48,37.44
FRM-0060,FAR-060,Embu,44.0,-0.4,37.5
FRM-0061,FAR-061,Kiambu,45.7,-0.32,37.56
FRM-0062,FAR-062,Machakos,12.4,-0.24,37.62
FRM-0063,FAR-063,Nakuru,14.1,-0.16,37.68
FRM-0064,FAR-064,Nairobi,15.8,-0.08,37.74
FRM-0065,FAR-065,Embu,17.5,0.0,37.8
FRM-0066,FAR-066,Kiambu,19.2,0.08,37.86
FRM-0067,FAR-067,Machakos,20.9,0.16,37.92
FRM-0068,FAR-068,Nakuru,22.6,0.24,37.98
FRM-0069,FAR-069,Nairobi,24.3,0.32,38.04
FRM-0070,FAR-070,Embu,26.0,0.4,38.1
FRM-0071,FAR-071,Kiambu,27.7,0.48,38.16
FRM-0072,FAR-072,Machakos,29.4,0.56,38.22
FRM-0073,FAR-073,Nakuru,31.1,0.64,38.28
FRM-0074,FAR-074,Nairobi,32.8,0.72,38.34
FRM-0075,FAR-075,Embu,34.5,0.8,38.4
FRM-0076,FAR-076,Kiambu,36.2,0.88,38.46
FRM-0077,FAR-077,Machakos,37.9,0.96,38.52
FRM-0078,FAR-078,Nakuru,39.6,1.04,38.58
FRM-0079,FAR-079,Nairobi,41.3,1.12,38.64
FRM-0080,FAR-080,Embu,43.0,1.2,36.3
FRM-0081,FAR-081,Kiambu,44.7,1.28,36.36
FRM-0082,FAR-082,Machakos,46.4,1.36,36.42
FRM-0083,FAR-083,Nakuru,13.1,1.44,36.48
FRM-0084,FAR-084,Nairobi,14.8,1.52,36.54
FRM-0085,FAR-085,Embu,16.5,1.6,36.6
FRM-0086,FAR-086,Kiambu,18.2,1.68,36.66
FRM-0087,FAR-087,Machakos,19.9,1.76,36.72
FRM-0088,FAR-088,Nakuru,21.6,1.84,36.78
FRM-0089,FAR-089,Nairobi,23.3,1.92,36.84
FRM-0090,FAR-090,Embu,25.0,2.0,36.9
FRM-0091,FAR-091,Kiambu,26.7,2.08,36.96
FRM-0092,FAR-092,Machakos,28.4,2.16,37.02
FRM-0093,FAR-093,Nakuru,30.1,2.24,37.08
FRM-0094,FAR-094,Nairobi,31.8,2.32,37.14
FRM-0095,FAR-095,Embu,33.5,2.4,37.2
FRM-0096,FAR-096,Kiambu,35.2,2.48,37.26
FRM-0097,FAR-097,Machakos,36.9,2.56,37.32
FRM-0098,FAR-098,Nakuru,38.6,2.64,37.38
FRM-0099,FAR-099,Nairobi,40.3,2.72,37.44
FRM-0100,FAR-100,Embu,42.0,-1.2,37.5
FRM-0101,FAR-101,Kiambu,43.7,-1.12,37.56
FRM-0102,FAR-102,Machakos,45.4,-1.04,37.62
FRM-0103,FAR-103,Nakuru,12.1,-0.96,37.68
FRM-0104,FAR-104,Nairobi,13.8,-0.88,37.74
FRM-0105,FAR-105,Embu,15.5,-0.8,37.8
FRM-0106,FAR-106,Kiambu,17.2,-0.72,37.86
FRM-0107,FAR-107,Machakos,18.9,-0.64,37.92
FRM-0108,FAR-108,Nakuru,20.6,-0.56,37.98
FRM-0109,FAR-109,Nairobi,22.3,-0.48,38.04
FRM-0110,FAR-110,Embu,24.0,-0.4,38.1
FRM-0111,FAR-111,Kiambu,25.7,-0.32,38.16
FRM-0112,FAR-112,Machakos,27.4,-0.24,38.22
FRM-0113,FAR-113,Nakuru,29.1,-0.16,38.28
FRM-0114,FAR-114,Nairobi,30.8,-0.08,38.34
FRM-0115,FAR-115,Embu,32.5,0.0,38.4
FRM-0116,FAR-116,Kiambu,34.2,0.08,38.46
FRM-0117,FAR-117,Machakos,35.9,0.16,38.52
FRM-0118,FAR-118,Nakuru,37.6,0.24,38.58
FRM-0119,FAR-119,Nairobi,39.3,0.32,38.64
FRM-0120,FAR-120,Embu,41.0,0.4,36.3
FRM-0121,FAR-121,Kiambu,42.7,0.48,36.36
FRM-0122,FAR-122,Machakos,44.4,0.56,36.42
FRM-0123,FAR-123,Nakuru,46.1,0.64,36.48
FRM-0124,FAR-124,Nairobi,12.8,0.72,36.54
FRM-0125,FAR-125,Embu,14.5,0.8,36.6
FRM-0126,FAR-126,Kiambu,16.2,0.88,36.66
FRM-0127,FAR-127,Machakos,17.9,0.96,36.72
FRM-0128,FAR-128,Nakuru,19.6,1.04,36.78
FRM-0129,FAR-129,Nairobi,21.3,1.12,36.84
FRM-0130,FAR-130,Embu,23.0,1.2,36.9
FRM-0131,FAR-131,Kiambu,24.7,1.28,36.96
FRM-0132,FAR-132,Machakos,26.4,1.36,37.02
FRM-0133,FAR-133,Nakuru,28.1,1.44,37.08
FRM-0134,FAR-134,Nairobi,29.8,1.52,37.14
FRM-0135,FAR-135,Embu,31.5,1.6,37.2
FRM-0136,FAR-136,Kiambu,33.2,1.68,37.26
FRM-0137,FAR-137,Machakos,34.9,1.76,37.32
FRM-0138,FAR-138,Nakuru,36.6,1.84,37.38
FRM-0139,FAR-139,Nairobi,38.3,1.92,37.44
FRM-0140,FAR-140,Embu,40.0,2.0,37.5
FRM-0141,FAR-141,Kiambu,41.7,2.08,37.56
FRM-0142,FAR-142,Machakos,43.4,2.16,37.62
FRM-0143,FAR-143,Nakuru,45.1,2.24,37.68
FRM-0144,FAR-144,Nairobi,46.8,2.32,37.74
FRM-0145,FAR-145,Embu,13.5,2.4,37.8
FRM-0146,FAR-146,Kiambu,15.2,2.48,37.86
FRM-0147,FAR-147,Machakos,16.9,2.56,37.92
FRM-0148,FAR-148,Nakuru,18.6,2.64,37.98
FRM-0149,FAR-149,Nairobi,20.3,2.72,38.04
FRM-0150,FAR-150,Embu,22.0,-1.2,38.1
FRM-0151,FAR-151,Kiambu,23.7,-1.12,38.16
FRM-0152,FAR-152,Machakos,25.4,-1.04,38.22
FRM-0153,FAR-153,Nakuru,27.1,-0.96,38.28
FRM-0154,FAR-154,Nairobi,28.8,-0.88,38.34
FRM-0155,FAR-155,Embu,30.5,-0.8,38.4
FRM-0156,FAR-156,Kiambu,32.2,-0.72,38.46
FRM-0157,FAR-157,Machakos,33.9,-0.64,38.52
FRM-0158,FAR-158,Nakuru,35.6,-0.56,38.58
FRM-0159,FAR-159,Nairobi,37.3,-0.48,38.64
FRM-0160,FAR-160,Embu,39.0,-0.4,36.3
FRM-0161,FAR-161,Kiambu,40.7,-0.32,36.36
FRM-0162,FAR-162,Machakos,42.4,-0.24,36.42
FRM-0163,FAR-163,Nakuru,44.1,-0.16,36.48
FRM-0164,FAR-164,Nairobi,45.8,-0.08,36.54
FRM-0165,FAR-165,Embu,12.5,0.0,36.6
FRM-0166,FAR-166,Kiambu,14.2,0.08,36.66
FRM-0167,FAR-167,Machakos,15.9,0.16,36.72
FRM-0168,FAR-168,Nakuru,17.6,0.24,36.78
FRM-0169,FAR-169,Nairobi,19.3,0.32,36.84
FRM-0170,FAR-170,Embu,21.0,0.4,36.9
FRM-0171,FAR-171,Kiambu,22.7,0.48,36.96
FRM-0172,FAR-172,Machakos,24.4,0.56,37.02
FRM-0173,FAR-173,Nakuru,26.1,0.64,37.08
FRM-0174,FAR-174,Nairobi,27.8,0.72,37.14
FRM-0175,FAR-175,Embu,29.5,0.8,37.2
FRM-0176,FAR-176,Kiambu,31.2,0.88,37.26
FRM-0177,FAR-177,Machakos,32.9,0.96,37.32
FRM-0178,FAR-178,Nakuru,34.6,1.04,37.38
FRM-0179,FAR-179,Nairobi,36.3,1.12,37.44
FRM-0180,FAR-180,Embu,38.0,1.2,37.5
FRM-0181,FAR-181,Kiambu,39.7,1.28,37.56
FRM-0182,FAR-182,Machakos,41.4,1.36,37.62
FRM-0183,FAR-183,Nakuru,43.1,1.44,37.68
FRM-0184,FAR-184,Nairobi,44.8,1.52,37.74
FRM-0185,FAR-185,Embu,46.5,1.6,37.8
FRM-0186,FAR-186,Kiambu,13.2,1.68,37.86
FRM-0187,FAR-187,Machakos,14.9,1.76,37.92
FRM-0188,FAR-188,Nakuru,16.6,1.84,37.98
FRM-0189,FAR-189,Nairobi,18.3,1.92,38.04
FRM-0190,FAR-190,Embu,20.0,2.0,38.1
FRM-0191,FAR-191,Kiambu,21.7,2.08,38.16
FRM-0192,FAR-192,Machakos,23.4,2.16,38.22
FRM-0193,FAR-193,Nakuru,25.1,2.24,38.28
FRM-0194,FAR-194,Nairobi,26.8,2.32,38.34
FRM-0195,FAR-195,Embu,28.5,2.4,38.4
FRM-0196,FAR-196,Kiambu,30.2,2.48,38.46
FRM-0197,FAR-197,Machakos,31.9,2.56,38.52
FRM-0198,FAR-198,Nakuru,33.6,2.64,38.58
FRM-0199,FAR-199,Nairobi,35.3,2.72,38.64
FRM-0200,FAR-200,Embu,37.0,-1.2,36.3
FRM-0201,FAR-201,Kiambu,38.7,-1.12,36.36
FRM-0202,FAR-202,Machakos,40.4,-1.04,36.42
FRM-0203,FAR-203,Nakuru,42.1,-0.96,36.48
FRM-0204,FAR-204,Nairobi,43.8,-0.88,36.54
FRM-0205,FAR-205,Embu,45.5,-0.8,36.6
FRM-0206,FAR-206,Kiambu,12.2,-0.72,36.66
FRM-0207,FAR-207,Machakos,13.9,-0.64,36.72
FRM-0208,FAR-208,Nakuru,15.6,-0.56,36.78
FRM-0209,FAR-209,Nairobi,17.3,-0.48,36.84
FRM-0210,FAR-210,Embu,19.0,-0.4,36.9
FRM-0211,FAR-211,Kiambu,20.7,-0.32,36.96
FRM-0212,FAR-212,Machakos,22.4,-0.24,37.02
FRM-0213,FAR-213,Nakuru,24.1,-0.16,37.08
FRM-0214,FAR-214,Nairobi,25.8,-0.08,37.14
FRM-0215,FAR-215,Embu,27.5,0.0,37.2
FRM-0216,FAR-216,Kiambu,29.2,0.08,37.26
FRM-0217,FAR-217,Machakos,30.9,0.16,37.32
FRM-0218,FAR-218,Nakuru,32.6,0.24,37.38
FRM-0219,FAR-219,Nairobi,34.3,0.32,37.44
FRM-0220,FAR-220,Embu,36.0,0.4,37.5
FRM-0221,FAR-221,Kiambu,37.7,0.48,37.56
FRM-0222,FAR-222,Machakos,39.4,0.56,37.62
FRM-0223,FAR-223,Nakuru,41.1,0.64,37.68
FRM-0224,FAR-224,Nairobi,42.8,0.72,37.74
FRM-0225,FAR-225,Embu,44.5,0.8,37.8
FRM-0226,FAR-226,Kiambu,46.2,0.88,37.86
FRM-0227,FAR-227,Machakos,12.9,0.96,37.92
FRM-0228,FAR-228,Nakuru,14.6,1.04,37.98
FRM-0229,FAR-229,Nairobi,16.3,1.12,38.04
FRM-0230,FAR-230,Embu,18.0,1.2,38.1
FRM-0231,FAR-231,Kiambu,19.7,1.28,38.16
FRM-0232,FAR-232,Machakos,21.4,1.36,38.22
FRM-0233,FAR-233,Nakuru,23.1,1.44,38.28
FRM-0234,FAR-234,Nairobi,24.8,1.52,38.34
FRM-0235,FAR-235,Embu,26.5,1.6,38.4
FRM-0236,FAR-236,Kiambu,28.2,1.68,38.46
FRM-0237,FAR-237,Machakos,29.9,1.76,38.52
FRM-0238,FAR-238,Nakuru,31.6,1.84,38.58
FRM-0239,FAR-239,Nairobi,33.3,1.92,38.64
FRM-0240,FAR-240,Embu,35.0,2.0,36.3
FRM-0241,FAR-241,Kiambu,36.7,2.08,36.36
FRM-0242,FAR-242,Machakos,38.4,2.16,36.42
FRM-0243,FAR-243,Nakuru,40.1,2.24,36.48
FRM-0244,FAR-244,Nairobi,41.8,2.32,36.54
FRM-0245,FAR-245,Embu,43.5,2.4,36.6
FRM-0246,FAR-246,Kiambu,45.2,2.48,36.66
FRM-0247,FAR-247,Machakos,46.9,2.56,36.72
FRM-0248,FAR-248,Nakuru,13.6,2.64,36.78
FRM-0249,FAR-249,Nairobi,15.3,2.72,36.84
FRM-0250,FAR-250,Embu,17.0,-1.2,36.9
FRM-0251,FAR-251,Kiambu,18.7,-1.12,36.96
FRM-0252,FAR-252,Machakos,20.4,-1.04,37.02
FRM-0253,FAR-253,Nakuru,22.1,-0.96,37.08
FRM-0254,FAR-254,Nairobi,23.8,-0.88,37.14
FRM-0255,FAR-255,Embu,25.5,-0.8,37.2
FRM-0256,FAR-256,Kiambu,27.2,-0.72,37.26
FRM-0257,FAR-257,Machakos,28.9,-0.64,37.32
FRM-0258,FAR-258,Nakuru,30.6,-0.56,37.38
FRM-0259,FAR-259,Nairobi,32.3,-0.48,37.44
FRM-0260,FAR-260,Embu,34.0,-0.4,37.5
FRM-0261,FAR-261,Kiambu,35.7,-0.32,37.56
FRM-0262,FAR-262,Machakos,37.4,-0.24,37.62
FRM-0263,FAR-263,Nakuru,39.1,-0.16,37.68
FRM-0264,FAR-264,Nairobi,40.8,-0.08,37.74
FRM-0265,FAR-265,Embu,42.5,0.0,37.8
FRM-0266,FAR-266,Kiambu,44.2,0.08,37.86
FRM-0267,FAR-267,Machakos,45.9,0.16,37.92
FRM-0268,FAR-268,Nakuru,12.6,0.24,37.98
FRM-0269,FAR-269,Nairobi,14.3,0.32,38.04
FRM-0270,FAR-270,Embu,16.0,0.4,38.1
FRM-0271,FAR-271,Kiambu,17.7,0.48,38.16
FRM-0272,FAR-272,Machakos,19.4,0.56,38.22
FRM-0273,FAR-273,Nakuru,21.1,0.64,38.28
FRM-0274,FAR-274,Nairobi,22.8,0.72,38.34
FRM-0275,FAR-275,Embu,24.5,0.8,38.4
FRM-0276,FAR-276,Kiambu,26.2,0.88,38.46
FRM-0277,FAR-277,Machakos,27.9,0.96,38.52
FRM-0278,FAR-278,Nakuru,29.6,1.04,38.58
FRM-0279,FAR-279,Nairobi,31.3,1.12,38.64
FRM-0280,FAR-280,Embu,33.0,1.2,36.3
FRM-0281,FAR-281,Kiambu,34.7,1.28,36.36
FRM-0282,FAR-282,Machakos,36.4,1.36,36.42
FRM-0283,FAR-283,Nakuru,38.1,1.44,36.48
FRM-0284,FAR-284,Nairobi,39.8,1.52,36.54
FRM-0285,FAR-285,Embu,41.5,1.6,36.6
FRM-0286,FAR-286,Kiambu,43.2,1.68,36.66
FRM-0287,FAR-287,Machakos,44.9,1.76,36.72
FRM-0288,FAR-288,Nakuru,46.6,1.84,36.78
FRM-0289,FAR-289,Nairobi,13.3,1.92,36.84
FRM-0290,FAR-290,Embu,15.0,2.0,36.9
FRM-0291,FAR-291,Kiambu,16.7,2.08,36.96
FRM-0292,FAR-292,Machakos,18.4,2.16,37.02
FRM-0293,FAR-293,Nakuru,20.1,2.24,37.08
FRM-0294,FAR-294,Nairobi,21.8,2.32,37.14
FRM-0295,FAR-295,Embu,23.5,2.4,37.2
FRM-0296,FAR-296,Kiambu,25.2,2.48,37.26
FRM-0297,FAR-297,Machakos,26.9,2.56,37.32
FRM-0298,FAR-298,Nakuru,28.6,2.64,37.38
FRM-0299,FAR-299,Nairobi,30.3,2.72,37.44
FRM-0300,FAR-300,Embu,32.0,-1.2,37.5
FRM-0301,FAR-301,Kiambu,33.7,-1.12,37.56
FRM-0302,FAR-302,Machakos,35.4,-1.04,37.62
FRM-0303,FAR-303,Nakuru,37.1,-0.96,37.68
FRM-0304,FAR-304,Nairobi,38.8,-0.88,37.74
FRM-0305,FAR-305,Embu,40.5,-0.8,37.8
FRM-0306,FAR-306,Kiambu,42.2,-0.72,37.86
FRM-0307,FAR-307,Machakos,43.9,-0.64,37.92
FRM-0308,FAR-308,Nakuru,45.6,-0.56,37.98
FRM-0309,FAR-309,Nairobi,12.3,-0.48,38.04
FRM-0310,FAR-310,Embu,14.0,-0.4,38.1
FRM-0311,FAR-311,Kiambu,15.7,-0.32,38.16
FRM-0312,FAR-312,Machakos,17.4,-0.24,38.22
FRM-0313,FAR-313,Nakuru,19.1,-0.16,38.28
FRM-0314,FAR-314,Nairobi,20.8,-0.08,38.34
FRM-0315,FAR-315,Embu,22.5,0.0,38.4
FRM-0316,FAR-316,Kiambu,24.2,0.08,38.46
FRM-0317,FAR-317,Machakos,25.9,0.16,38.52
FRM-0318,FAR-318,Nakuru,27.6,0.24,38.58
FRM-0319,FAR-319,Nairobi,29.3,0.32,38.64
FRM-0320,FAR-320,Embu,31.0,0.4,36.3
FRM-0321,FAR-321,Kiambu,32.7,0.48,36.36
FRM-0322,FAR-322,Machakos,34.4,0.56,36.42
FRM-0323,FAR-323,Nakuru,36.1,0.64,36.48
FRM-0324,FAR-324,Nairobi,37.8,0.72,36.54
FRM-0325,FAR-325,Embu,39.5,0.8,36.6
FRM-0326,FAR-326,Kiambu,41.2,0.88,36.66
FRM-0327,FAR-327,Machakos,42.9,0.96,36.72
FRM-0328,FAR-328,Nakuru,44.6,1.04,36.78
FRM-0329,FAR-329,Nairobi,46.3,1.12,36.84
FRM-0330,FAR-330,Embu,13.0,1.2,36.9
FRM-0331,FAR-331,Kiambu,14.7,1.28,36.96
FRM-0332,FAR-332,Machakos,16.4,1.36,37.02
FRM-0333,FAR-333,Nakuru,18.1,1.44,37.08
FRM-0334,FAR-334,Nairobi,19.8,1.52,37.14
FRM-0335,FAR-335,Embu,21.5,1.6,37.2
FRM-0336,FAR-336,Kiambu,23.2,1.68,37.26
FRM-0337,FAR-337,Machakos,24.9,1.76,37.32
FRM-0338,FAR-338,Nakuru,26.6,1.84,37.38
FRM-0339,FAR-339,Nairobi,28.3,1.92,37.44
FRM-0340,FAR-340,Embu,30.0,2.0,37.5
FRM-0341,FAR-341,Kiambu,31.7,2.08,37.56
FRM-0342,FAR-342,Machakos,33.4,2.16,37.62
FRM-0343,FAR-343,Nakuru,35.1,2.24,37.68
FRM-0344,FAR-344,Nairobi,36.8,2.32,37.74
FRM-0345,FAR-345,Embu,38.5,2.4,37.8
FRM-0346,FAR-346,Kiambu,40.2,2.48,37.86
FRM-0347,FAR-347,Machakos,41.9,2.56,37.92
FRM-0348,FAR-348,Nakuru,43.6,2.64,37.98
FRM-0349,FAR-349,Nairobi,45.3,2.72,38.04
FRM-0350,FAR-350,Embu,12.0,-1.2,38.1
FRM-0351,FAR-351,Kiambu,13.7,-1.12,38.16
FRM-0352,FAR-352,Machakos,15.4,-1.04,38.22
FRM-0353,FAR-353,Nakuru,17.1,-0.96,38.28
FRM-0354,FAR-354,Nairobi,18.8,-0.88,38.34
FRM-0355,FAR-355,Embu,20.5,-0.8,38.4
FRM-0356,FAR-356,Kiambu,22.2,-0.72,38.46
FRM-0357,FAR-357,Machakos,23.9,-0.64,38.52
FRM-0358,FAR-358,Nakuru,25.6,-0.56,38.58
FRM-0359,FAR-359,Nairobi,27.3,-0.48,38.64
FRM-0360,FAR-360,Embu,29.0,-0.4,36.3
FRM-0361,FAR-361,Kiambu,30.7,-0.32,36.36
FRM-0362,FAR-362,Machakos,32.4,-0.24,36.42
FRM-0363,FAR-363,Nakuru,34.1,-0.16,36.48
FRM-0364,FAR-364,Nairobi,35.8,-0.08,36.54
FRM-0365,FAR-365,Embu,37.5,0.0,36.6
FRM-0366,FAR-366,Kiambu,39.2,0.08,36.66
FRM-0367,FAR-367,Machakos,40.9,0.16,36.72
FRM-0368,FAR-368,Nakuru,42.6,0.24,36.78
FRM-0369,FAR-369,Nairobi,44.3,0.32,36.84
FRM-0370,FAR-370,Embu,46.0,0.4,36.9
FRM-0371,FAR-371,Kiambu,12.7,0.48,36.96
FRM-0372,FAR-372,Machakos,14.4,0.56,37.02
FRM-0373,FAR-373,Nakuru,16.1,0.64,37.08
FRM-0374,FAR-374,Nairobi,17.8,0.72,37.14
FRM-0375,FAR-375,Embu,19.5,0.8,37.2
FRM-0376,FAR-376,Kiambu,21.2,0.88,37.26
FRM-0377,FAR-377,Machakos,22.9,0.96,37.32
FRM-0378,FAR-378,Nakuru,24.6,1.04,37.38
FRM-0379,FAR-379,Nairobi,26.3,1.12,37.44
FRM-0380,FAR-380,Embu,28.0,1.2,37.5
FRM-0381,FAR-381,Kiambu,29.7,1.28,37.56
FRM-0382,FAR-382,Machakos,31.4,1.36,37.62
FRM-0383,FAR-383,Nakuru,33.1,1.44,37.68
FRM-0384,FAR-384,Nairobi,34.8,1.52,37.74
FRM-0385,FAR-385,Embu,36.5,1.6,37.8
FRM-0386,FAR-386,Kiambu,38.2,1.68,37.86
FRM-0387,FAR-387,Machakos,39.9,1.76,37.92
FRM-0388,FAR-388,Nakuru,41.6,1.84,37.98
FRM-0389,FAR-389,Nairobi,43.3,1.92,38.04
FRM-0390,FAR-390,Embu,45.0,2.0,38.1
FRM-0391,FAR-391,Kiambu,46.7,2.08,38.16
FRM-0392,FAR-392,Machakos,13.4,2.16,38.22
FRM-0393,FAR-393,Nakuru,15.1,2.24,38.28
FRM-0394,FAR-394,Nairobi,16.8,2.32,38.34
FRM-0395,FAR-395,Embu,18.5,2.4,38.4
FRM-0396,FAR-396,Kiambu,20.2,2.48,38.46
FRM-0397,FAR-397,Machakos,21.9,2.56,38.52
FRM-0398,FAR-398,Nakuru,23.6,2.64,38.58
FRM-0399,FAR-399,Nairobi,25.3,2.72,38.64
FRM-0400,FAR-400,Embu,27.0,-1.2,36.3
FRM-0401,FAR-401,Kiambu,28.7,-1.12,36.36
FRM-0402,FAR-402,Machakos,30.4,-1.04,36.42
FRM-0403,FAR-403,Nakuru,32.1,-0.96,36.48
FRM-0404,FAR-404,Nairobi,33.8,-0.88,36.54
FRM-0405,FAR-405,Embu,35.5,-0.8,36.6
FRM-0406,FAR-406,Kiambu,37.2,-0.72,36.66
FRM-0407,FAR-407,Machakos,38.9,-0.64,36.72
FRM-0408,FAR-408,Nakuru,40.6,-0.56,36.78
FRM-0409,FAR-409,Nairobi,42.3,-0.48,36.84
FRM-0410,FAR-410,Embu,44.0,-0.4,36.9
FRM-0411,FAR-411,Kiambu,45.7,-0.32,36.96
FRM-0412,FAR-412,Machakos,12.4,-0.24,37.02
FRM-0413,FAR-413,Nakuru,14.1,-0.16,37.08
FRM-0414,FAR-414,Nairobi,15.8,-0.08,37.14
FRM-0415,FAR-415,Embu,17.5,0.0,37.2
FRM-0416,FAR-416,Kiambu,19.2,0.08,37.26
FRM-0417,FAR-417,Machakos,20.9,0.16,37.32
FRM-0418,FAR-418,Nakuru,22.6,0.24,37.38
FRM-0419,FAR-419,Nairobi,24.3,0.32,37.44
FRM-0420,FAR-420,Embu,26.0,0.4,37.5
FRM-0421,FAR-421,Kiambu,27.7,0.48,37.56
FRM-0422,FAR-422,Machakos,29.4,0.56,37.62
FRM-0423,FAR-423,Nakuru,31.1,0.64,37.68
FRM-0424,FAR-424,Nairobi,32.8,0.72,37.74
FRM-0425,FAR-425,Embu,34.5,0.8,37.8
FRM-0426,FAR-426,Kiambu,36.2,0.88,37.86
FRM-0427,FAR-427,Machakos,37.9,0.96,37.92
FRM-0428,FAR-428,Nakuru,39.6,1.04,37.98
FRM-0429,FAR-429,Nairobi,41.3,1.12,38.04
FRM-0430,FAR-430,Embu,43.0,1.2,38.1
FRM-0431,FAR-431,Kiambu,44.7,1.28,38.16
FRM-0432,FAR-432,Machakos,46.4,1.36,38.22
FRM-0433,FAR-433,Nakuru,13.1,1.44,38.28
FRM-0434,FAR-434,Nairobi,14.8,1.52,38.34
FRM-0435,FAR-435,Embu,16.5,1.6,38.4
FRM-0436,FAR-436,Kiambu,18.2,1.68,38.46
FRM-0437,FAR-437,Machakos,19.9,1.76,38.52
FRM-0438,FAR-438,Nakuru,21.6,1.84,38.58
FRM-0439,FAR-439,Nairobi,23.3,1.92,38.64
FRM-0440,FAR-440,Embu,25.0,2.0,36.3
FRM-0441,FAR-441,Kiambu,26.7,2.08,36.36
FRM-0442,FAR-442,Machakos,28.4,2.16,36.42
FRM-0443,FAR-443,Nakuru,30.1,2.24,36.48
FRM-0444,FAR-444,Nairobi,31.8,2.32,36.54
FRM-0445,FAR-445,Embu,33.5,2.4,36.6
FRM-0446,FAR-446,Kiambu,35.2,2.48,36.66
FRM-0447,FAR-447,Machakos,36.9,2.56,36.72
FRM-0448,FAR-448,Nakuru,38.6,2.64,36.78
FRM-0449,FAR-449,Nairobi,40.3,2.72,36.84
FRM-0450,FAR-450,Embu,42.0,-1.2,36.9
FRM-0451,FAR-451,Kiambu,43.7,-1.12,36.96
FRM-0452,FAR-452,Machakos,45.4,-1.04,37.02
FRM-0453,FAR-453,Nakuru,12.1,-0.96,37.08
FRM-0454,FAR-454,Nairobi,13.8,-0.88,37.14
