booking_id,farmer_id,tractor_id,region,status,crop_operation,amount,requested_at
BKG-00025,FAR-025,TR-025,Kiambu,pending,Land preparation,19500,2026-01-26T00:00:00
BKG-00026,FAR-026,TR-026,Machakos,completed,Planting,19800,2026-01-27T00:00:00
BKG-00027,FAR-027,TR-027,Nakuru,completed,Weeding,20100,2026-01-28T00:00:00
BKG-00028,FAR-028,TR-028,Nairobi,completed,Harvesting,20400,2026-01-29T00:00:00
BKG-00029,FAR-029,TR-029,Embu,completed,Soil management,20700,2026-01-30T00:00:00
BKG-00030,FAR-030,TR-030,Kiambu,pending,Land preparation,21000,2026-01-31T00:00:00
BKG-00031,FAR-031,TR-031,Machakos,completed,Planting,21300,2026-02-01T00:00:00
BKG-00032,FAR-032,TR-032,Nakuru,completed,Weeding,21600,2026-02-02T00:00:00
BKG-00033,FAR-033,TR-033,Nairobi,completed,Harvesting,21900,2026-02-03T00:00:00
BKG-00034,FAR-034,TR-034,Embu,completed,Soil management,22200,2026-02-04T00:00:00
BKG-00035,FAR-035,TR-035,Kiambu,pending,Land preparation,22500,2026-02-05T00:00:00
BKG-00036,FAR-036,TR-036,Machakos,completed,Planting,22800,2026-02-06T00:00:00
BKG-00037,FAR-037,TR-037,Nakuru,completed,Weeding,23100,2026-02-07T00:00:00
BKG-00038,FAR-038,TR-038,Nairobi,completed,Harvesting,23400,2026-02-08T00:00:00
BKG-00039,FAR-039,TR-039,Embu,completed,Soil management,23700,2026-02-09T00:00:00
BKG-00040,FAR-040,TR-040,Kiambu,pending,Land preparation,12000,2026-02-10T00:00:00
BKG-00041,FAR-041,TR-041,Machakos,completed,Planting,12300,2026-02-11T00:00:00
BKG-00042,FAR-042,TR-042,Nakuru,completed,Weeding,12600,2026-02-12T00:00:00
BKG-00043,FAR-043,TR-043,Nairobi,completed,Harvesting,12900,2026-02-13T00:00:00
BKG-00044,FAR-044,TR-044,Embu,completed,Soil management,13200,2026-02-14T00:00:00
BKG-00045,FAR-045,TR-045,Kiambu,pending,Land preparation,13500,2026-02-15T00:00:00
BKG-00046,FAR-046,TR-046,Machakos,completed,Planting,13800,2026-02-16T00:00:00
BKG-00047,FAR-047,TR-047,Nakuru,completed,Weeding,14100,2026-02-17T00:00:00
BKG-00048,FAR-048,TR-048,Nairobi,completed,Harvesting,14400,2026-02-18T00:00:00
BKG-00049,FAR-049,TR-049,Embu,completed,Soil management,14700,2026-02-19T00:00:00
BKG-00050,FAR-050,TR-050,Kiambu,pending,Land preparation,15000,2026-02-20T00:00:00
BKG-00051,FAR-051,TR-051,Machakos,completed,Planting,15300,2026-02-21T00:00:00
BKG-00052,FAR-052,TR-052,Nakuru,completed,Weeding,15600,2026-02-22T00:00:00
BKG-00053,FAR-053,TR-053,Nairobi,completed,Harvesting,15900,2026-02-23T00:00:00
BKG-00054,FAR-054,TR-054,Embu,completed,Soil management,16200,2026-02-24T00:00:00
BKG-00055,FAR-055,TR-055,Kiambu,pending,Land preparation,16500,2026-02-25T00:00:00
BKG-00056,FAR-056,TR-056,Machakos,completed,Planting,16800,2026-02-26T00:00:00
BKG-00057,FAR-057,TR-057,Nakuru,completed,Weeding,17100,2026-02-27T00:00:00
BKG-00058,FAR-058,TR-058,Nairobi,completed,Harvesting,17400,2026-02-28T00:00:00
BKG-00059,FAR-059,TR-059,Embu,completed,Soil management,17700,2026-03-01T00:00:00
BKG-00060,FAR-060,TR-060,Kiambu,pending,Land preparation,18000,2026-03-02T00:00:00
BKG-00061,FAR-061,TR-061,Machakos,completed,Planting,18300,2026-03-03T00:00:00
BKG-00062,FAR-062,TR-062,Nakuru,completed,Weeding,18600,2026-03-04T00:00:00
BKG-00063,FAR-063,TR-063,Nairobi,completed,Harvesting,18900,2026-03-05T00:00:00
BKG-00064,FAR-064,TR-064,Embu,completed,Soil management,19200,2026-03-06T00:00:00
BKG-00065,FAR-065,TR-065,Kiambu,pending,Land preparation,19500,2026-03-07T00:00:00
BKG-00066,FAR-066,TR-066,Machakos,completed,Planting,19800,2026-03-08T00:00:00
BKG-00067,FAR-067,TR-067,Nakuru,completed,Weeding,20100,2026-03-09T00:00:00
BKG-00068,FAR-068,TR-068,Nairobi,completed,Harvesting,20400,2026-03-10T00:00:00
BKG-00069,FAR-069,TR-069,Embu,completed,Soil management,20700,2026-03-11T00:00:00
BKG-00070,FAR-070,TR-070,Kiambu,pending,Land preparation,21000,2026-03-12T00:00:00
BKG-00071,FAR-071,TR-071,Machakos,completed,Planting,21300,2026-03-13T00:00:00
BKG-00072,FAR-072,TR-072,Nakuru,completed,Weeding,21600,2026-03-14T00:00:00
BKG-00073,FAR-073,TR-073,Nairobi,completed,Harvesting,21900,2026-03-15T00:00:00
BKG-00074,FAR-074,TR-074,Embu,completed,Soil management,22200,2026-03-16T00:00:00
BKG-00075,FAR-075,TR-075,Kiambu,pending,Land preparation,22500,2026-03-17T00:00:00
BKG-00076,FAR-076,TR-076,Machakos,completed,Planting,22800,2026-03-18T00:00:00
BKG-00077,FAR-077,TR-077,Nakuru,completed,Weeding,23100,2026-03-19T00:00:00
BKG-00078,FAR-078,TR-078,Nairobi,completed,Harvesting,23400,2026-03-20T00:00:00
BKG-00079,FAR-079,TR-079,Embu,completed,Soil management,23700,2026-03-21T00:00:00
BKG-00080,FAR-080,TR-080,Kiambu,pending,Land preparation,12000,2026-03-22T00:00:00
BKG-00081,FAR-081,TR-081,Machakos,completed,Planting,12300,2026-03-23T00:00:00
BKG-00082,FAR-082,TR-082,Nakuru,completed,Weeding,12600,2026-03-24T00:00:00
BKG-00083,FAR-083,TR-083,Nairobi,completed,Harvesting,12900,2026-03-25T00:00:00
BKG-00084,FAR-084,TR-084,Embu,completed,Soil management,13200,2026-03-26T00:00:00
BKG-00085,FAR-085,TR-085,Kiambu,pending,Land preparation,13500,2026-03-27T00:00:00
BKG-00086,FAR-086,TR-086,Machakos,completed,Planting,13800,2026-03-28T00:00:00
BKG-00087,FAR-087,TR-087,Nakuru,completed,Weeding,14100,2026-03-29T00:00:00
BKG-00088,FAR-088,TR-088,Nairobi,completed,Harvesting,14400,2026-03-30T00:00:00
BKG-00089,FAR-089,TR-089,Embu,completed,Soil management,14700,2026-03-31T00:00:00
BKG-00090,FAR-090,TR-090,Kiambu,pending,Land preparation,15000,2026-04-01T00:00:00
BKG-00091,FAR-091,TR-091,Machakos,completed,Planting,15300,2026-04-02T00:00:00
BKG-00092,FAR-092,TR-092,Nakuru,completed,Weeding,15600,2026-04-03T00:00:00
BKG-00093,FAR-093,TR-093,Nairobi,completed,Harvesting,15900,2026-04-04T00:00:00
BKG-00094,FAR-094,TR-094,Embu,completed,Soil management,16200,2026-04-05T00:00:00
BKG-00095,FAR-095,TR-095,Kiambu,pending,Land preparation,16500,2026-04-06T00:00:00
BKG-00096,FAR-096,TR-096,Machakos,completed,Planting,16800,2026-04-07T00:00:00
BKG-00097,FAR-097,TR-097,Nakuru,completed,Weeding,17100,2026-04-08T00:00:00
BKG-00098,FAR-098,TR-098,Nairobi,completed,Harvesting,17400,2026-04-09T00:00:00
BKG-00099,FAR-099,TR-099,Embu,completed,Soil management,17700,2026-04-10T00:00:00
BKG-00100,FAR-100,TR-100,Kiambu,pending,Land preparation,18000,2026-04-11T00:00:00
BKG-00101,FAR-101,TR-001,Machakos,completed,Planting,18300,2026-04-12T00:00:00
BKG-00102,FAR-102,TR-002,Nakuru,completed,Weeding,18600,2026-04-13T00:00:00
BKG-00103,FAR-103,TR-003,Nairobi,completed,Harvesting,18900,2026-04-14T00:00:00
BKG-00104,FAR-104,TR-004,Embu,completed,Soil management,19200,2026-04-15T00:00:00
BKG-00105,FAR-105,TR-005,Kiambu,pending,Land preparation,19500,2026-04-16T00:00:00
BKG-00106,FAR-106,TR-006,Machakos,completed,Planting,19800,2026-04-17T00:00:00
BKG-00107,FAR-107,TR-007,Nakuru,completed,Weeding,20100,2026-04-18T00:00:00
BKG-00108,FAR-108,TR-008,Nairobi,completed,Harvesting,20400,2026-04-19T00:00:00
BKG-00109,FAR-109,TR-009,Embu,completed,Soil management,20700,2026-04-20T00:00:00
BKG-00110,FAR-110,TR-010,Kiambu,pending,Land preparation,21000,2026-04-21T00:00:00
BKG-00111,FAR-111,TR-011,Machakos,completed,Planting,21300,2026-04-22T00:00:00
BKG-00112,FAR-112,TR-012,Nakuru,completed,Weeding,21600,2026-04-23T00:00:00
BKG-00113,FAR-113,TR-013,Nairobi,completed,Harvesting,21900,2026-04-24T00:00:00
BKG-00114,FAR-114,TR-014,Embu,completed,Soil management,22200,2026-04-25T00:00:00
BKG-00115,FAR-115,TR-015,Kiambu,pending,Land preparation,22500,2026-04-26T00:00:00
BKG-00116,FAR-116,TR-016,Machakos,completed,Planting,22800,2026-04-27T00:00:00
BKG-00117,FAR-117,TR-017,Nakuru,completed,Weeding,23100,2026-04-28T00:00:00
BKG-00118,FAR-118,TR-018,Nairobi,completed,Harvesting,23400,2026-04-29T00:00:00
BKG-00119,FAR-119,TR-019,Embu,completed,Soil management,23700,2026-04-30T00:00:00
BKG-00120,FAR-120,TR-020,Kiambu,pending,Land preparation,12000,2026-05-01T00:00:00
BKG-00121,FAR-121,TR-021,Machakos,completed,Planting,12300,2026-05-02T00:00:00
BKG-00122,FAR-122,TR-022,Nakuru,completed,Weeding,12600,2026-05-03T00:00:00
BKG-00123,FAR-123,TR-023,Nairobi,completed,Harvesting,12900,2026-05-04T00:00:00
BKG-00124,FAR-124,TR-024,Embu,completed,Soil management,13200,2026-05-05T00:00:00
BKG-00125,FAR-125,TR-025,Kiambu,pending,Land preparation,13500,2026-05-06T00:00:00
BKG-00126,FAR-126,TR-026,Machakos,completed,Planting,13800,2026-05-07T00:00:00
BKG-00127,FAR-127,TR-027,Nakuru,completed,Weeding,14100,2026-05-08T00:00:00
BKG-00128,FAR-128,TR-028,Nairobi,completed,Harvesting,14400,2026-05-09T00:00:00
BKG-00129,FAR-129,TR-029,Embu,completed,Soil management,14700,2026-05-10T00:00:00
BKG-00130,FAR-130,TR-030,Kiambu,pending,Land preparation,15000,2026-05-11T00:00:00
BKG-00131,FAR-131,TR-031,Machakos,completed,Planting,15300,2026-05-12T00:00:00
BKG-00132,FAR-132,TR-032,Nakuru,completed,Weeding,15600,2026-05-13T00:00:00
BKG-00133,FAR-133,TR-033,Nairobi,completed,Harvesting,15900,2026-05-14T00:00:00
BKG-00134,FAR-134,TR-034,Embu,completed,Soil management,16200,2026-05-15T00:00:00
BKG-00135,FAR-135,TR-035,Kiambu,pending,Land preparation,16500,2026-05-16T00:00:00
BKG-00136,FAR-136,TR-036,Machakos,completed,Planting,16800,2026-05-17T00:00:00
BKG-00137,FAR-137,TR-037,Nakuru,completed,Weeding,17100,2026-05-18T00:00:00
BKG-00138,FAR-138,TR-038,Nairobi,completed,Harvesting,17400,2026-05-19T00:00:00
BKG-00139,FAR-139,TR-039,Embu,completed,Soil management,17700,2026-05-20T00:00:00
BKG-00140,FAR-140,TR-040,Kiambu,pending,Land preparation,18000,2026-05-21T00:00:00
BKG-00141,FAR-141,TR-041,Machakos,completed,Planting,18300,2026-05-22T00:00:00
BKG-00142,FAR-142,TR-042,Nakuru,completed,Weeding,18600,2026-05-23T00:00:00
BKG-00143,FAR-143,TR-043,Nairobi,completed,Harvesting,18900,2026-05-24T00:00:00
BKG-00144,FAR-144,TR-044,Embu,completed,Soil management,19200,2026-05-25T00:00:00
BKG-00145,FAR-145,TR-045,Kiambu,pending,Land preparation,19500,2026-05-26T00:00:00
BKG-00146,FAR-146,TR-046,Machakos,completed,Planting,19800,2026-05-27T00:00:00
BKG-00147,FAR-147,TR-047,Nakuru,completed,Weeding,20100,2026-05-28T00:00:00
BKG-00148,FAR-148,TR-048,Nairobi,completed,Harvesting,20400,2026-05-29T00:00:00
BKG-00149,FAR-149,TR-049,Embu,completed,Soil management,20700,2026-05-30T00:00:00
BKG-00150,FAR-150,TR-050,Kiambu,pending,Land preparation,21000,2026-05-31T00:00:00
BKG-00151,FAR-151,TR-051,Machakos,completed,Planting,21300,2026-06-01T00:00:00
BKG-00152,FAR-152,TR-052,Nakuru,completed,Weeding,21600,2026-06-02T00:00:00
BKG-00153,FAR-153,TR-053,Nairobi,completed,Harvesting,21900,2026-06-03T00:00:00
BKG-00154,FAR-154,TR-054,Embu,completed,Soil management,22200,2026-06-04T00:00:00
BKG-00155,FAR-155,TR-055,Kiambu,pending,Land preparation,22500,2026-06-05T00:00:00
BKG-00156,FAR-156,TR-056,Machakos,completed,Planting,22800,2026-06-06T00:00:00
BKG-00157,FAR-157,TR-057,Nakuru,completed,Weeding,23100,2026-06-07T00:00:00
BKG-00158,FAR-158,TR-058,Nairobi,completed,Harvesting,23400,2026-06-08T00:00:00
BKG-00159,FAR-159,TR-059,Embu,completed,Soil management,23700,2026-06-09T00:00:00
BKG-00160,FAR-160,TR-060,Kiambu,pending,Land preparation,12000,2026-06-10T00:00:00
BKG-00161,FAR-161,TR-061,Machakos,completed,Planting,12300,2026-06-11T00:00:00
BKG-00162,FAR-162,TR-062,Nakuru,completed,Weeding,12600,2026-06-12T00:00:00
BKG-00163,FAR-163,TR-063,Nairobi,completed,Harvesting,12900,2026-06-13T00:00:00
BKG-00164,FAR-164,TR-064,Embu,completed,Soil management,13200,2026-06-14T00:00:00
BKG-00165,FAR-165,TR-065,Kiambu,pending,Land preparation,13500,2026-06-15T00:00:00
BKG-00166,FAR-166,TR-066,Machakos,completed,Planting,13800,2026-06-16T00:00:00
BKG-00167,FAR-167,TR-067,Nakuru,completed,Weeding,14100,2026-06-17T00:00:00
BKG-00168,FAR-168,TR-068,Nairobi,completed,Harvesting,14400,2026-06-18T00:00:00
BKG-00169,FAR-169,TR-069,Embu,completed,Soil management,14700,2026-06-19T00:00:00
BKG-00170,FAR-170,TR-070,Kiambu,pending,Land preparation,15000,2026-06-20T00:00:00
BKG-00171,FAR-171,TR-071,Machakos,completed,Planting,15300,2026-06-21T00:00:00
BKG-00172,FAR-172,TR-072,Nakuru,completed,Weeding,15600,2026-06-22T00:00:00
BKG-00173,FAR-173,TR-073,Nairobi,completed,Harvesting,15900,2026-06-23T00:00:00
BKG-00174,FAR-174,TR-074,Embu,completed,Soil management,16200,2026-06-24T00:00:00
BKG-00175,FAR-175,TR-075,Kiambu,pending,Land preparation,16500,2026-06-25T00:00:00
BKG-00176,FAR-176,TR-076,Machakos,completed,Planting,16800,2026-06-26T00:00:00
BKG-00177,FAR-177,TR-077,Nakuru,completed,Weeding,17100,2026-06-27T00:00:00
BKG-00178,FAR-178,TR-078,Nairobi,completed,Harvesting,17400,2026-06-28T00:00:00
BKG-00179,FAR-179,TR-079,Embu,completed,Soil management,17700,2026-06-29T00:00:00
BKG-00180,FAR-180,TR-080,Kiambu,pending,Land preparation,18000,2026-06-30T00:00:00
BKG-00181,FAR-181,TR-081,Machakos,completed,Planting,18300,2026-07-01T00:00:00
BKG-00182,FAR-182,TR-082,Nakuru,completed,Weeding,18600,2026-07-02T00:00:00
BKG-00183,FAR-183,TR-083,Nairobi,completed,Harvesting,18900,2026-07-03T00:00:00
BKG-00184,FAR-184,TR-084,Embu,completed,Soil management,19200,2026-07-04T00:00:00
BKG-00185,FAR-185,TR-085,Kiambu,pending,Land preparation,19500,2026-07-05T00:00:00
BKG-00186,FAR-186,TR-086,Machakos,completed,Planting,19800,2026-07-06T00:00:00
BKG-00187,FAR-187,TR-087,Nakuru,completed,Weeding,20100,2026-07-07T00:00:00
BKG-00188,FAR-188,TR-088,Nairobi,completed,Harvesting,20400,2026-07-08T00:00:00
BKG-00189,FAR-189,TR-089,Embu,completed,Soil management,20700,2026-07-09T00:00:00
BKG-00190,FAR-190,TR-090,Kiambu,pending,Land preparation,21000,2026-07-10T00:00:00
BKG-00191,FAR-191,TR-091,Machakos,completed,Planting,21300,2026-07-11T00:00:00
BKG-00192,FAR-192,TR-092,Nakuru,completed,Weeding,21600,2026-07-12T00:00:00
BKG-00193,FAR-193,TR-093,Nairobi,completed,Harvesting,21900,2026-07-13T00:00:00
BKG-00194,FAR-194,TR-094,Embu,completed,Soil management,22200,2026-07-14T00:00:00
BKG-00195,FAR-195,TR-095,Kiambu,pending,Land preparation,22500,2026-07-15T00:00:00
BKG-00196,FAR-196,TR-096,Machakos,completed,Planting,22800,2026-07-16T00:00:00
BKG-00197,FAR-197,TR-097,Nakuru,completed,Weeding,23100,2026-07-17T00:00:00
BKG-00198,FAR-198,TR-098,Nairobi,completed,Harvesting,23400,2026-07-18T00:00:00
BKG-00199,FAR-199,TR-099,Embu,completed,Soil management,23700,2026-07-19T00:00:00
BKG-00200,FAR-200,TR-100,Kiambu,pending,Land preparation,12000,2026-07-20T00:00:00
BKG-00201,FAR-201,TR-001,Machakos,completed,Planting,12300,2026-07-21T00:00:00
BKG-00202,FAR-202,TR-002,Nakuru,completed,Weeding,12600,2026-07-22T00:00:00
BKG-00203,FAR-203,TR-003,Nairobi,completed,Harvesting,12900,2026-07-23T00:00:00
BKG-00204,FAR-204,TR-004,Embu,completed,Soil management,13200,2026-07-24T00:00:00
BKG-00205,FAR-205,TR-005,Kiambu,pending,Land preparation,13500,2026-07-25T00:00:00
BKG-00206,FAR-206,TR-006,Machakos,completed,Planting,13800,2026-07-26T00:00:00
BKG-00207,FAR-207,TR-007,Nakuru,completed,Weeding,14100,2026-07-27T00:00:00
BKG-00208,FAR-208,TR-008,Nairobi,completed,Harvesting,14400,2026-07-28T00:00:00
BKG-00209,FAR-209,TR-009,Embu,completed,Soil management,14700,2026-07-29T00:00:00
BKG-00210,FAR-210,TR-010,Kiambu,pending,Land preparation,15000,2026-07-30T00:00:00
BKG-00211,FAR-211,TR-011,Machakos,completed,Planting,15300,2026-07-31T00:00:00
BKG-00212,FAR-212,TR-012,Nakuru,completed,Weeding,15600,2026-08-01T00:00:00
BKG-00213,FAR-213,TR-013,Nairobi,completed,Harvesting,15900,2026-08-02T00:00:00
BKG-00214,FAR-214,TR-014,Embu,completed,Soil management,16200,2026-08-03T00:00:00
BKG-00215,FAR-215,TR-015,Kiambu,pending,Land preparation,16500,2026-08-04T00:00:00
BKG-00216,FAR-216,TR-016,Machakos,completed,Planting,16800,2026-08-05T00:00:00
BKG-00217,FAR-217,TR-017,Nakuru,completed,Weeding,17100,2026-08-06T00:00:00
BKG-00218,FAR-218,TR-018,Nairobi,completed,Harvesting,17400,2026-08-07T00:00:00
BKG-00219,FAR-219,TR-019,Embu,completed,Soil management,17700,2026-08-08T00:00:00
BKG-00220,FAR-220,TR-020,Kiambu,pending,Land preparation,18000,2026-08-09T00:00:00
BKG-00221,FAR-221,TR-021,Machakos,completed,Planting,18300,2026-08-10T00:00:00
BKG-00222,FAR-222,TR-022,Nakuru,completed,Weeding,18600,2026-08-11T00:00:00
BKG-00223,FAR-223,TR-023,Nairobi,completed,Harvesting,18900,2026-08-12T00:00:00
BKG-00224,FAR-224,TR-024,Embu,completed,Soil management,19200,2026-08-13T00:00:00
BKG-00225,FAR-225,TR-025,Kiambu,pending,Land preparation,19500,2026-08-14T00:00:00
BKG-00226,FAR-226,TR-026,Machakos,completed,Planting,19800,2026-08-15T00:00:00
BKG-00227,FAR-227,TR-027,Nakuru,completed,Weeding,20100,2026-08-16T00:00:00
BKG-00228,FAR-228,TR-028,Nairobi,completed,Harvesting,20400,2026-08-17T00:00:00
BKG-00229,FAR-229,TR-029,Embu,completed,Soil management,20700,2026-08-18T00:00:00
BKG-00230,FAR-230,TR-030,Kiambu,pending,Land preparation,21000,2026-08-19T00:00:00
BKG-00231,FAR-231,TR-031,Machakos,completed,Planting,21300,2026-08-20T00:00:00
BKG-00232,FAR-232,TR-032,Nakuru,completed,Weeding,21600,2026-08-21T00:00:00
BKG-00233,FAR-233,TR-033,Nairobi,completed,Harvesting,21900,2026-08-22T00:00:00
BKG-00234,FAR-234,TR-034,Embu,completed,Soil management,22200,2026-08-23T00:00:00
BKG-00235,FAR-235,TR-035,Kiambu,pending,Land preparation,22500,2026-08-24T00:00:00
BKG-00236,FAR-236,TR-036,Machakos,completed,Planting,22800,2026-08-25T00:00:00
BKG-00237,FAR-237,TR-037,Nakuru,completed,Weeding,23100,2026-08-26T00:00:00
BKG-00238,FAR-238,TR-038,Nairobi,completed,Harvesting,23400,2026-08-27T00:00:00
BKG-00239,FAR-239,TR-039,Embu,completed,Soil management,23700,2026-08-28T00:00:00
BKG-00240,FAR-240,TR-040,Kiambu,pending,Land preparation,12000,2026-08-29T00:00:00
BKG-00241,FAR-241,TR-041,Machakos,completed,Planting,12300,2026-08-30T00:00:00
BKG-00242,FAR-242,TR-042,Nakuru,completed,Weeding,12600,2026-08-31T00:00:00
BKG-00243,FAR-243,TR-043,Nairobi,completed,Harvesting,12900,2026-09-01T00:00:00
BKG-00244,FAR-244,TR-044,Embu,completed,Soil management,13200,2026-09-02T00:00:00
BKG-00245,FAR-245,TR-045,Kiambu,pending,Land preparation,13500,2026-09-03T00:00:00
BKG-00246,FAR-246,TR-046,Machakos,completed,Planting,13800,2026-09-04T00:00:00
BKG-00247,FAR-247,TR-047,Nakuru,completed,Weeding,14100,2026-09-05T00:00:00
BKG-00248,FAR-248,TR-048,Nairobi,completed,Harvesting,14400,2026-09-06T00:00:00
BKG-00249,FAR-249,TR-049,Embu,completed,Soil management,14700,2026-09-07T00:00:00
BKG-00250,FAR-250,TR-050,Kiambu,pending,Land preparation,15000,2026-09-08T00:00:00
BKG-00251,FAR-251,TR-051,Machakos,completed,Planting,15300,2026-09-09T00:00:00
BKG-00252,FAR-252,TR-052,Nakuru,completed,Weeding,15600,2026-09-10T00:00:00
BKG-00253,FAR-253,TR-053,Nairobi,completed,Harvesting,15900,2026-09-11T00:00:00
BKG-00254,FAR-254,TR-054,Embu,completed,Soil management,16200,2026-09-12T00:00:00
BKG-00255,FAR-255,TR-055,Kiambu,pending,Land preparation,16500,2026-09-13T00:00:00
BKG-00256,FAR-256,TR-056,Machakos,completed,Planting,16800,2026-09-14T00:00:00
BKG-00257,FAR-257,TR-057,Nakuru,completed,Weeding,17100,2026-09-15T00:00:00
BKG-00258,FAR-258,TR-058,Nairobi,completed,Harvesting,17400,2026-09-16T00:00:00
BKG-00259,FAR-259,TR-059,Embu,completed,Soil management,17700,2026-09-17T00:00:00
BKG-00260,FAR-260,TR-060,Kiambu,pending,Land preparation,18000,2026-09-18T00:00:00
BKG-00261,FAR-261,TR-061,Machakos,completed,Planting,18300,2026-09-19T00:00:00
BKG-00262,FAR-262,TR-062,Nakuru,completed,Weeding,18600,2026-09-20T00:00:00
BKG-00263,FAR-263,TR-063,Nairobi,completed,Harvesting,18900,2026-09-21T00:00:00
BKG-00264,FAR-264,TR-064,Embu,completed,Soil management,19200,2026-09-22T00:00:00
BKG-00265,FAR-265,TR-065,Kiambu,pending,Land preparation,19500,2026-09-23T00:00:00
BKG-00266,FAR-266,TR-066,Machakos,completed,Planting,19800,2026-09-24T00:00:00
BKG-00267,FAR-267,TR-067,Nakuru,completed,Weeding,20100,2026-09-25T00:00:00
BKG-00268,FAR-268,TR-068,Nairobi,completed,Harvesting,20400,2026-09-26T00:00:00
BKG-00269,FAR-269,TR-069,Embu,completed,Soil management,20700,2026-09-27T00:00:00
BKG-00270,FAR-270,TR-070,Kiambu,pending,Land preparation,21000,2026-09-28T00:00:00
BKG-00271,FAR-271,TR-071,Machakos,completed,Planting,21300,2026-09-29T00:00:00
BKG-00272,FAR-272,TR-072,Nakuru,completed,Weeding,21600,2026-09-30T00:00:00
BKG-00273,FAR-273,TR-073,Nairobi,completed,Harvesting,21900,2026-10-01T00:00:00
BKG-00274,FAR-274,TR-074,Embu,completed,Soil management,22200,2026-10-02T00:00:00
BKG-00275,FAR-275,TR-075,Kiambu,pending,Land preparation,22500,2026-10-03T00:00:00
BKG-00276,FAR-276,TR-076,Machakos,completed,Planting,22800,2026-10-04T00:00:00
BKG-00277,FAR-277,TR-077,Nakuru,completed,Weeding,23100,2026-10-05T00:00:00
BKG-00278,FAR-278,TR-078,Nairobi,completed,Harvesting,23400,2026-10-06T00:00:00
BKG-00279,FAR-279,TR-079,Embu,completed,Soil management,23700,2026-10-07T00:00:00
BKG-00280,FAR-280,TR-080,Kiambu,pending,Land preparation,12000,2026-10-08T00:00:00
BKG-00281,FAR-281,TR-081,Machakos,completed,Planting,12300,2026-10-09T00:00:00
BKG-00282,FAR-282,TR-082,Nakuru,completed,Weeding,12600,2026-10-10T00:00:00
BKG-00283,FAR-283,TR-083,Nairobi,completed,Harvesting,12900,2026-10-11T00:00:00
BKG-00284,FAR-284,TR-084,Embu,completed,Soil management,13200,2026-10-12T00:00:00
BKG-00285,FAR-285,TR-085,Kiambu,pending,Land preparation,13500,2026-10-13T00:00:00
BKG-00286,FAR-286,TR-086,Machakos,completed,Planting,13800,2026-10-14T00:00:00
BKG-00287,FAR-287,TR-087,Nakuru,completed,Weeding,14100,2026-10-15T00:00:00
BKG-00288,FAR-288,TR-088,Nairobi,completed,Harvesting,14400,2026-10-16T00:00:00
BKG-00289,FAR-289,TR-089,Embu,completed,Soil management,14700,2026-10-17T00:00:00
BKG-00290,FAR-290,TR-090,Kiambu,pending,Land preparation,15000,2026-10-18T00:00:00
BKG-00291,FAR-291,TR-091,Machakos,completed,Planting,15300,2026-10-19T00:00:00
BKG-00292,FAR-292,TR-092,Nakuru,completed,Weeding,15600,2026-10-20T00:00:00
